,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,867,11,24,8,4,0,8,10,43,25
car,8,924,2,0,1,2,1,1,15,46
bird,45,0,745,22,51,44,54,25,9,5
cat,13,6,44,618,34,172,57,33,10,13
deer,13,2,35,21,816,26,36,45,4,2
dog,5,1,17,64,24,841,10,30,2,6
frog,5,2,22,18,10,17,912,8,3,3
horse,8,1,7,7,15,32,0,924,1,5
ship,33,10,1,5,0,5,1,1,934,10
truck,16,26,1,6,0,1,3,0,22,925
