epoch,train_loss,train_acc,test_loss,test_acc,lr,grad_norm_conv1,grad_norm_conv4
1,1.7177641720199586,0.36364,1.321952362060547,0.5213,0.001,3.002912759780884,1.2866156101226807
2,1.3674206371688842,0.50104,1.1461333547592163,0.5872,0.001,3.599893569946289,1.302657961845398
3,1.2319799460983276,0.5569,1.023759030532837,0.6318,0.001,4.7804131507873535,1.3365530967712402
4,1.1290011923980714,0.59872,0.949101086807251,0.6584,0.001,4.258108139038086,1.5461350679397583
5,1.0635756539154053,0.62022,0.8458646797180176,0.695,0.001,3.179271697998047,1.3621643781661987
6,1.019795001373291,0.63546,0.8435097547531127,0.6995,0.001,4.674047470092773,3.1183180809020996
7,0.9843996173858642,0.6502,0.7756046089172364,0.7248,0.001,2.9659886360168457,1.424715280532837
8,0.9491987476158142,0.66486,0.8015012431144715,0.7191,0.001,3.8266825675964355,1.582503080368042
9,0.9314105443191528,0.6722,0.7912094180107117,0.7134,0.001,3.413914680480957,1.1720020771026611
10,0.9068606797790527,0.67958,0.7144804119110107,0.7483,0.001,4.068722724914551,1.646607756614685
11,0.8869101510620118,0.68718,0.7094753078460694,0.7513,0.001,5.531890392303467,2.1597483158111572
12,0.8751356252098084,0.69254,0.7227268818855286,0.7406,0.001,3.383023262023926,1.7617204189300537
13,0.8634352902221679,0.69482,0.6726584051132202,0.7623,0.001,2.837641716003418,1.676742434501648
14,0.851209712638855,0.70192,0.6799074486732483,0.7579,0.001,6.364426612854004,2.894625186920166
15,0.851969631652832,0.70206,0.6776203247070313,0.7574,0.001,5.451255798339844,1.9857165813446045
16,0.8352900959205627,0.70738,0.6811312858581543,0.7589,0.001,3.2162609100341797,1.6090315580368042
17,0.8250655592727661,0.71214,0.6497567415237426,0.7708,0.001,4.992208957672119,2.1156880855560303
18,0.8252082791137695,0.71092,0.6620601295471191,0.7756,0.001,4.2826247215271,1.7957255840301514
19,0.8157294793510437,0.7134,0.6525779801368713,0.7715,0.001,6.350272178649902,1.7949589490890503
20,0.8116148523712158,0.71724,0.6394219407081604,0.7752,0.001,5.3286261558532715,2.678638458251953
21,0.8015729689025879,0.71842,0.6517397943496704,0.7741,0.001,6.67086935043335,2.2167012691497803
22,0.7991376486587525,0.7206,0.6263161512374877,0.7831,0.001,4.893514633178711,1.6041464805603027
23,0.7857960241317749,0.72446,0.6271540252685547,0.7776,0.001,2.8281595706939697,1.1230010986328125
24,0.7889572274017334,0.72608,0.6207732006072998,0.7842,0.001,4.293397426605225,1.7673226594924927
25,0.7763662847137451,0.73064,0.6363540950775146,0.7773,0.001,6.6654558181762695,2.1218526363372803
26,0.7733777794265747,0.73202,0.5951671027183533,0.792,0.001,4.674363136291504,1.654158353805542
27,0.7675093881225586,0.73448,0.62616137342453,0.7844,0.001,3.199298620223999,0.9291979074478149
28,0.7664316860961914,0.73484,0.6392515201568604,0.7775,0.001,10.926335334777832,2.162447929382324
29,0.7703067786026001,0.73544,0.5875037099838257,0.7943,0.001,4.768115520477295,1.6485817432403564
30,0.7623401152038575,0.73482,0.620508645439148,0.7855,0.001,3.1209919452667236,1.1465213298797607
